Latitude,Longitude,Altitude,Time
-34.55711994,-58.46849229,43.900001525878906,2021-06-10T06:47:44Z
-34.5570477,-58.46838469,43.5,2021-06-10T06:47:46Z
-34.55700264,-58.46832706,43.5,2021-06-10T06:47:50Z
-34.55696164,-58.4682797,44.400001525878906,2021-06-10T06:47:52Z
-34.55695454,-58.46823395,44.79999923706055,2021-06-10T06:47:54Z
-34.5569398,-58.46821595,44.5,2021-06-10T06:47:56Z
-34.55695177,-58.46819513,42.0,2021-06-10T06:47:57Z
-34.55695938,-58.46821897,42.900001525878906,2021-06-10T06:47:59Z
-34.55694823,-58.46820103,42.20000076293945,2021-06-10T06:48:08Z
-34.55695676,-58.46821384,40.900001525878906,2021-06-10T06:48:12Z
-34.5569487,-58.46820295,40.900001525878906,2021-06-10T06:48:14Z
-34.55693458,-58.46817814,40.900001525878906,2021-06-10T06:48:17Z
-34.55690399,-58.46812472,41.599998474121094,2021-06-10T06:48:19Z
-34.5568705,-58.46804191,42.5,2021-06-10T06:48:21Z
-34.55679654,-58.46789945,41.70000076293945,2021-06-10T06:48:23Z
-34.55673517,-58.46776469,42.5,2021-06-10T06:48:25Z
-34.5566738,-58.46764651,42.599998474121094,2021-06-10T06:48:27Z
-34.55661756,-58.46754134,41.900001525878906,2021-06-10T06:48:29Z
-34.55655835,-58.46743557,40.70000076293945,2021-06-10T06:48:31Z
-34.55650577,-58.46736739,39.900001525878906,2021-06-10T06:48:33Z
-34.55647205,-58.46728307,42.5,2021-06-10T06:48:35Z
-34.55643841,-58.46719237,40.70000076293945,2021-06-10T06:48:37Z
-34.5564076,-58.46710462,41.29999923706055,2021-06-10T06:48:38Z
-34.55632847,-58.46697706,40.5,2021-06-10T06:48:40Z
-34.55626551,-58.46688792,40.0,2021-06-10T06:48:42Z
-34.55622702,-58.46679392,40.099998474121094,2021-06-10T06:48:44Z
-34.55617478,-58.4666257,42.29999923706055,2021-06-10T06:48:48Z
-34.55610934,-58.46650692,42.20000076293945,2021-06-10T06:48:50Z
-34.55604003,-58.46642452,40.79999923706055,2021-06-10T06:48:52Z
-34.55598247,-58.46639493,42.29999923706055,2021-06-10T06:48:54Z
-34.55592192,-58.46633682,44.400001525878906,2021-06-10T06:48:55Z
-34.55588935,-58.46628686,44.20000076293945,2021-06-10T06:48:58Z
-34.55587333,-58.46623753,43.70000076293945,2021-06-10T06:49:00Z
-34.55584721,-58.46613897,45.0,2021-06-10T06:49:02Z
-34.55579418,-58.46607853,44.79999923706055,2021-06-10T06:49:04Z
-34.55576172,-58.46603362,45.79999923706055,2021-06-10T06:49:05Z
-34.55574564,-58.46596845,44.900001525878906,2021-06-10T06:49:07Z
-34.55569923,-58.46592236,35.79999923706055,2021-06-10T06:49:09Z
-34.55566456,-58.46587585,30.0,2021-06-10T06:49:12Z
-34.55565944,-58.4658039,29.5,2021-06-10T06:49:13Z
-34.55562705,-58.46576131,29.600000381469727,2021-06-10T06:49:15Z
-34.55561529,-58.46568293,29.100000381469727,2021-06-10T06:49:17Z
-34.5555782,-58.46562205,27.799999237060547,2021-06-10T06:49:19Z
-34.55552117,-58.46558486,30.100000381469727,2021-06-10T06:49:21Z
-34.55547738,-58.46553832,29.899999618530273,2021-06-10T06:49:23Z
-34.55544258,-58.46547586,32.400001525878906,2021-06-10T06:49:25Z
-34.55543579,-58.4654203,33.70000076293945,2021-06-10T06:49:27Z
-34.55538988,-58.46537158,32.900001525878906,2021-06-10T06:49:29Z
-34.55534382,-58.4653328,31.399999618530273,2021-06-10T06:49:32Z
-34.55530462,-58.46531675,30.600000381469727,2021-06-10T06:49:34Z
-34.55525402,-58.46531004,29.0,2021-06-10T06:49:36Z
-34.55520972,-58.46533878,30.0,2021-06-10T06:49:37Z
-34.55512779,-58.46536346,29.5,2021-06-10T06:49:39Z
-34.55507654,-58.46545422,31.0,2021-06-10T06:49:41Z
-34.55502903,-58.46555419,31.399999618530273,2021-06-10T06:49:43Z
-34.55496555,-58.46568921,31.5,2021-06-10T06:49:45Z
-34.55489484,-58.46584417,33.099998474121094,2021-06-10T06:49:48Z
-34.5548096,-58.46594835,31.600000381469727,2021-06-10T06:49:50Z
